Month,Year,Total
Aug,2023,656424
Jul,2023,636036
Jun,2023,969256
May,2023,759199
Apr,2023,657974
Mar,2023,768181
Feb,2023,523720
Jan,2023,576907
Dec,2022,1000880
Nov,2022,741814
Oct,2022,567367
Sep,2022,544151
Aug,2022,439189
Jul,2022,422172
Jun,2022,476079
May,2022,345768
Apr,2022,231568
Mar,2022,155153
Feb,2022,112134
Jan,2022,118153
Dec,2021,172894
Nov,2021,109791
Oct,2021,76646
Sep,2021,75218
Aug,2021,57612
Jul,2021,52215
Jun,2021,50251
May,2021,48587
Apr,2021,50834
Mar,2021,56512
Feb,2021,43352
Jan,2021,39195
Dec,2020,51173
Nov,2020,28202
Oct,2020,16512
Sep,2020,16452
Aug,2020,13078
Jul,2020,10304
Jun,2020,8528
May,2020,6265
Apr,2020,5237
Mar,2020,207985
Feb,2020,420253
Jan,2020,759018
Dec,2019,1271780
Nov,2019,1072972
Oct,2019,875060
Sep,2019,848901
Aug,2019,814768
Jul,2019,738793
Jun,2019,1048217
May,2019,844277
Apr,2019,811810
Mar,2019,953556
Feb,2019,729915
Jan,2019,700668
Dec,2018,1283525
Nov,2018,1043293
Oct,2018,832460
Sep,2018,809744
Aug,2018,780692
Jul,2018,719883
Jun,2018,955818
May,2018,872265
Apr,2018,774528
Mar,2018,950291
Feb,2018,686178
Jan,2018,669652
Dec,2017,1238572
Nov,2017,983609
Oct,2017,785667
Sep,2017,776151
Aug,2017,731503
Jul,2017,683886
Jun,2017,917203
May,2017,814350
Apr,2017,789348
Mar,2017,863448
Feb,2017,608797
Jan,2017,696318
Dec,2016,1185494
Nov,2016,914424
Oct,2016,759911
Sep,2016,779910
Aug,2016,629682
Jul,2016,645430
Jun,2016,879990
May,2016,797697
Apr,2016,739805
Mar,2016,829374
Feb,2016,686304
Jan,2016,626184
Dec,2015,1142361
Nov,2015,904417
Oct,2015,715482
Sep,2015,728534
Aug,2015,674736
Jul,2015,630628
Jun,2015,868634
May,2015,789999
Apr,2015,695965
Mar,2015,758811
Feb,2015,612946
Jan,2015,602818
Dec,2014,1082589
Nov,2014,872185
Oct,2014,757472
Sep,2014,713298
Aug,2014,617255
Jul,2014,606034
Jun,2014,896499
May,2014,730861
Apr,2014,670221
Mar,2014,757244
Feb,2014,572401
Jan,2014,626646
Dec,2013,1077593
Nov,2013,895821
Oct,2013,717544
Sep,2013,697010
Aug,2013,639716
Jul,2013,587318
Jun,2013,870655
May,2013,697209
Apr,2013,605614
Mar,2013,737164
Feb,2013,586868
Jan,2013,534554
Dec,2012,969868
Nov,2012,795232
Oct,2012,660133
Sep,2012,615076
Aug,2012,573261
Jul,2012,567318
Jun,2012,785014
May,2012,672397
Apr,2012,618408
Mar,2012,687345
Feb,2012,528376
Jan,2012,575380
Dec,2011,930172
Nov,2011,739630
Oct,2011,615413
Sep,2011,624327
Aug,2011,537969
Jul,2011,592057
Jun,2011,762285
May,2011,658311
Apr,2011,589780
Mar,2011,631472
Feb,2011,552139
Jan,2011,519371
