country,tourists
Australia,983269
Bangladesh,119479
Belgium,25451
Brunei,55066
Canada,114306
China,735059
Denmark,26884
Egypt,2746
Finland,18123
France,147781
Germany,267252
Hong Kong,271032
India,1020542
Indonesia,2051216
Iran,3872
Ireland,20797
Israel,17252
Italy,57076
Japan,305759
Kuwait,6775
Malaysia,1016674
Mauritius,4812
Myanmar [Burma],114023
Netherlands,82374
New Zealand,116442
Norway,22960
Pakistan,17721
Philippines,656906
Russia,44175
Saudi Arabia,16415
South Africa,23743
South Korea,482287
Spain,50456
Sri Lanka,50254
Sweden,25208
Switzerland,66176
Taiwan,248402
Thailand,461082
United Arab Emirates,71760
United Kingdom,421681
United States of America,582091
Vietnam,471717
