year,month,tourists
2018,Jan ,1563359
2018,Feb ,1491970
2018,Mar ,1584406
2018,Apr ,1544248
2018,May ,1470891
2018,Jun ,1544679
2018,Jul ,1732896
2018,Aug ,1683122
2018,Sep ,1415149
2018,Oct ,1467380
2018,Nov ,1406985
2018,Dec ,1603217
2019,Jan ,1624593
2019,Feb ,1499051
2019,Mar ,1564664
2019,Apr ,1596724
2019,May ,1487791
2019,Jun ,1551847
2019,Jul ,1802593
2019,Aug ,1736102
2019,Sep ,1463543
2019,Oct ,1530479
2019,Nov ,1533668
2019,Dec ,1724961
2020,Jan ,1688102
2020,Feb ,732966
2020,Mar ,240001
2020,Apr ,750
2020,May ,880
2020,Jun ,2171
2020,Jul ,6843
2020,Aug ,8912
2020,Sep ,9500
2020,Oct ,13399
2020,Nov ,14749
2020,Dec ,24170
2021,Jan ,23366
2021,Feb ,18141
2021,Mar ,27202
2021,Apr ,25737
2021,May ,14190
2021,Jun ,10029
2021,Jul ,18517
2021,Aug ,15887
2021,Sep ,19009
2021,Oct ,24006
2021,Nov ,41179
2021,Dec ,92796
2022,Jan ,57174
2022,Feb ,67765
2022,Mar ,121207
2022,Apr ,295095
2022,May ,418458
2022,Jun ,543733
2022,Jul ,726739
2022,Aug ,728744
2022,Sep ,782215
2022,Oct ,816833
2022,Nov ,816340
2022,Dec ,931441
2023,Jan ,931670
2023,Feb ,957822
2023,Mar ,1021032
2023,Apr ,1128594
2023,May ,1112486
2023,Jun ,1129295
2023,Jul ,1419606
